TIMESTAMP,LowWaveDn_Avg,HighWaveDn_Avg,NDVI_Avg,Battery Charge
9/26/2025 14:00,NAN,0,NAN,12.87331
9/26/2025 14:30,NAN,0.07661666,NAN,12.86996
9/26/2025 15:00,0.01336667,0.06763888,NAN,13.48842
9/26/2025 15:30,0.01174444,0.06033333,NAN,13.80101
9/26/2025 16:00,0.0048,0.02652778,NAN,13.44227
9/26/2025 16:30,0.008183333,0.04671666,NAN,13.89219
9/26/2025 17:00,0.006916667,0.04234444,NAN,13.90992
9/26/2025 17:30,0.005433333,0.03545555,NAN,13.90169
9/26/2025 18:00,0.003744444,0.02776667,NAN,13.90811
9/26/2025 18:30,0.001944444,0.01636667,NAN,13.49973
9/26/2025 19:00,0.000394444,0.0042,NAN,13.26136
9/26/2025 19:30,0,0.00015,NAN,13.17953
9/26/2025 20:00,0,0,NAN,13.14858
9/26/2025 20:30,0,0,NAN,13.12652
9/26/2025 21:00,0,0,NAN,13.10659
9/26/2025 21:30,0,0,NAN,13.09234
9/26/2025 22:00,0,0,NAN,13.08188
9/26/2025 22:30,0,0,NAN,13.06832
9/26/2025 23:00,0,0,NAN,13.05847
9/26/2025 23:30,0,0,NAN,13.04814
9/27/2025 0:00,0,0,NAN,13.03917
9/27/2025 0:30,0,0,NAN,13.02735
9/27/2025 1:00,0,0,NAN,13.01417
9/27/2025 1:30,0,0,NAN,13.00845
9/27/2025 2:00,0,0,NAN,13.00008
9/27/2025 2:30,0,0,NAN,12.99182
9/27/2025 3:00,0,0,NAN,12.98181
9/27/2025 3:30,0,0,NAN,12.97744
9/27/2025 4:00,0,0,NAN,12.97233
9/27/2025 4:30,0,0,NAN,12.96403
9/27/2025 5:00,0,0,NAN,12.95799
9/27/2025 5:30,0,0,NAN,12.95113
9/27/2025 6:00,0,0,NAN,12.94456
9/27/2025 6:30,0,0,NAN,12.93707
9/27/2025 7:00,0,0,NAN,12.93534
9/27/2025 7:30,0,0.0005,NAN,12.92426
9/27/2025 8:00,0.000461111,0.004777777,NAN,12.93967
9/27/2025 8:30,0.002477778,0.01604444,NAN,12.99388
9/27/2025 9:00,0.004466666,0.02606111,NAN,13.05854
9/27/2025 9:30,0.006311111,0.03557778,NAN,13.15022
9/27/2025 10:00,0.008116666,0.04394444,NAN,13.21686
9/27/2025 10:30,0.009733332,0.05091667,NAN,13.23858
9/27/2025 11:00,0.01134444,0.05667222,NAN,13.25388
9/27/2025 11:30,0.01258889,0.06096666,NAN,13.27983
9/27/2025 12:00,0.01350556,0.06341111,NAN,13.30531
9/27/2025 12:30,0.01403889,0.0651,NAN,13.39218
9/27/2025 13:00,0.01490556,0.06587222,NAN,13.40005
9/27/2025 13:30,0.01496111,0.06550555,NAN,13.59279
9/27/2025 14:00,0.01406667,0.06434444,NAN,14.00556
9/27/2025 14:30,0.01382222,0.06285556,NAN,13.98589
9/27/2025 15:00,0.01291667,0.06157777,NAN,13.9583
9/27/2025 15:30,0.01107222,0.05523889,NAN,13.93145
9/27/2025 16:00,0.005261111,0.02666667,NAN,13.92382
9/27/2025 16:30,0.008172222,0.04458888,NAN,13.92408
9/27/2025 17:00,0.005027778,0.02920556,NAN,13.61435
9/27/2025 17:30,0.000988889,0.004927778,NAN,13.36575
9/27/2025 18:00,0.002577778,0.01449444,NAN,13.37065
9/27/2025 18:30,0.002461111,0.01822778,NAN,13.53193
9/27/2025 19:00,0.00025,0.003083333,NAN,13.2677
9/27/2025 19:30,0,0,NAN,13.17609
9/27/2025 20:00,0,0,NAN,13.14558
9/27/2025 20:30,0,0,NAN,13.12291
9/27/2025 21:00,0,0,NAN,13.10998
9/27/2025 21:30,0,0,NAN,13.09578
9/27/2025 22:00,0,0,NAN,13.08298
9/27/2025 22:30,0,0,NAN,13.07431
9/27/2025 23:00,0,0,NAN,13.0614
9/27/2025 23:30,0,0,NAN,13.05001
9/28/2025 0:00,0,0,NAN,13.04012
9/28/2025 0:30,0,0,NAN,13.03471
9/28/2025 1:00,0,0,NAN,13.02414
9/28/2025 1:30,0,0,NAN,13.01521
9/28/2025 2:00,0,0,NAN,13.00213
9/28/2025 2:30,0,0,NAN,12.99553
9/28/2025 3:00,0,0,NAN,12.98885
9/28/2025 3:30,0,0,NAN,12.98337
9/28/2025 4:00,0,0,NAN,12.98122
9/28/2025 4:30,0,0,NAN,12.97733
9/28/2025 5:00,0,0,NAN,12.96918
9/28/2025 5:30,0,0,NAN,12.96111
9/28/2025 6:00,0,0,NAN,12.95712
9/28/2025 6:30,0,0,NAN,12.9493
9/28/2025 7:00,0,0,NAN,12.94467
9/28/2025 7:30,0,0,NAN,12.93599
9/28/2025 8:00,3.89E-05,0.000844444,NAN,12.93725
9/28/2025 8:30,0.00055,0.002655556,NAN,12.97489
9/28/2025 9:00,0.001788889,0.007983332,NAN,13.01242
9/28/2025 9:30,0.006833333,0.02810555,NAN,13.14699
9/28/2025 10:00,0.0044,0.01755556,NAN,13.34958
9/28/2025 10:30,0.005116667,0.01946111,NAN,13.49432
9/28/2025 11:00,0.0042,0.01598333,NAN,13.72102
9/28/2025 11:30,0.004922222,0.01881667,NAN,13.70481
9/28/2025 12:00,0.01037778,0.03747778,NAN,14.10582
9/28/2025 12:30,0.01319444,0.0473,NAN,13.8362
9/28/2025 13:00,0.01619444,0.05606111,NAN,13.76643
9/28/2025 13:30,0.0113,0.03860556,NAN,14.05297
9/28/2025 14:00,0.00595,0.0203,NAN,14.03878
9/28/2025 14:30,0.006266667,0.02186667,NAN,14.03505
9/28/2025 15:00,0.008611111,0.02854444,NAN,14.05764
9/28/2025 15:30,0.008177778,0.02882778,NAN,14.05362
9/28/2025 16:00,0.009772222,0.03676111,NAN,14.03115
9/28/2025 16:30,0.009522221,0.03867222,NAN,14.02238
9/28/2025 17:00,0.00445,0.01810556,NAN,13.90558
9/28/2025 17:30,0.001511111,0.0062,NAN,13.61818
9/28/2025 18:00,0.0032,0.01618889,NAN,14.05906
9/28/2025 18:30,0.001172222,0.005483333,NAN,13.44002
9/28/2025 19:00,0,0.001511111,NAN,13.30925
9/28/2025 19:30,0,1.11E-05,NAN,13.16897
9/28/2025 20:00,0,0,NAN,13.1306
9/28/2025 20:30,0,0,NAN,13.10696
9/28/2025 21:00,0,0,NAN,13.08953
9/28/2025 21:30,0,0,NAN,13.07807
9/28/2025 22:00,0,0,NAN,13.06188
9/28/2025 22:30,0,0,NAN,13.04761
