<<<<<<< HEAD
Timestamp,LowWaveDn_Avg,HighWaveDn_Avg,NDVI_Avg,Battery Charge,(GDD),
4/1/2025 1:30,0,0,0,12.87331,2806,0.9961164
4/1/2025 2:00,7.92E-09,1.65518E-06,0.000355,12.86996,0.000354995,
4/1/2025 2:30,1.58E-08,3.31037E-06,0.00071,13.48842,1.65518E-06,0.004644444
4/1/2025 3:00,2.38E-08,4.96555E-06,0.001065,13.80101,7.92E-09,2.22E-05
4/1/2025 3:30,3.17E-08,6.62073E-06,0.00142,13.44227,,
4/1/2025 4:00,3.96E-08,8.27592E-06,0.001775,13.89219,,
4/1/2025 4:30,4.75E-08,9.9311E-06,0.00213,13.90992,,
4/1/2025 5:00,5.54E-08,1.15863E-05,0.002485,13.90169,,
4/1/2025 5:30,6.34E-08,1.32415E-05,0.00284,13.90811,,
4/1/2025 6:00,7.13E-08,1.48966E-05,0.003195,13.49973,,
4/1/2025 6:30,7.92E-08,1.65518E-05,0.00355,13.26136,,
4/1/2025 7:00,8.71E-08,1.8207E-05,0.003905,13.17953,,
4/1/2025 7:30,9.50E-08,1.98622E-05,0.00426,13.14858,,
4/1/2025 8:00,1.03E-07,2.15174E-05,0.004615,13.12652,,
4/1/2025 8:30,1.11E-07,2.31726E-05,0.00497,13.10659,,
4/1/2025 9:00,1.19E-07,2.48277E-05,0.005325,13.09234,,
4/1/2025 9:30,1.27E-07,2.64829E-05,0.00568,13.08188,,
4/1/2025 10:00,1.35E-07,2.81381E-05,0.006035,13.06832,,
4/1/2025 10:30,1.43E-07,2.97933E-05,0.00639,13.05847,,
4/1/2025 11:00,1.50E-07,3.14485E-05,0.006745,13.04814,,
4/1/2025 11:30,1.58E-07,3.31037E-05,0.0071,13.03917,,
4/1/2025 12:00,1.66E-07,3.47588E-05,0.007455,13.02735,,
4/1/2025 12:30,1.74E-07,3.6414E-05,0.00781,13.01417,,
4/1/2025 13:00,1.82E-07,3.80692E-05,0.008165,13.00845,,
4/1/2025 13:30,1.90E-07,3.97244E-05,0.00852,13.00008,,
4/1/2025 14:00,1.98E-07,4.13796E-05,0.008875,12.99182,,
4/1/2025 14:30,2.06E-07,4.30348E-05,0.00923,12.98181,,
4/1/2025 15:00,2.14E-07,4.46899E-05,0.009585,12.97744,,
4/1/2025 15:30,2.22E-07,4.63451E-05,0.00994,12.97233,,
4/1/2025 16:00,2.30E-07,4.80003E-05,0.010295,12.96403,,
4/1/2025 16:30,2.38E-07,4.96555E-05,0.01065,12.95799,,
4/1/2025 17:00,2.46E-07,5.13107E-05,0.011005,12.95113,,
4/1/2025 17:30,2.53E-07,5.29659E-05,0.01136,12.94456,,
4/1/2025 18:00,2.61E-07,5.4621E-05,0.011715,12.93707,,
4/1/2025 18:30,2.69E-07,5.62762E-05,0.01207,12.93534,,
4/1/2025 19:00,2.77E-07,5.79314E-05,0.012425,12.92426,,
4/1/2025 19:30,2.85E-07,5.95866E-05,0.01278,12.93967,,
4/1/2025 20:00,2.93E-07,6.12418E-05,0.013135,12.99388,,
4/1/2025 20:30,3.01E-07,6.2897E-05,0.01349,13.05854,,
4/1/2025 21:00,3.09E-07,6.45521E-05,0.013845,13.15022,,
4/1/2025 21:30,3.17E-07,6.62073E-05,0.0142,13.21686,,
4/1/2025 22:00,3.25E-07,6.78625E-05,0.014555,13.23858,,
4/1/2025 22:30,3.33E-07,6.95177E-05,0.01491,13.25388,,
4/1/2025 23:00,3.41E-07,7.11729E-05,0.015265,13.27983,,
4/1/2025 23:30,3.48E-07,7.28281E-05,0.01562,13.30531,,
4/2/2025 0:00,3.56E-07,7.44832E-05,0.015975,13.39218,,
4/2/2025 0:30,3.64E-07,7.61384E-05,0.01633,13.40005,,
4/2/2025 1:00,3.72E-07,7.77936E-05,0.016685,13.59279,,
4/2/2025 1:30,3.80E-07,7.94488E-05,0.01704,14.00556,,
4/2/2025 2:00,3.88E-07,8.1104E-05,0.017395,13.98589,,
4/2/2025 2:30,3.96E-07,8.27592E-05,0.01775,13.9583,,
4/2/2025 3:00,4.04E-07,8.44143E-05,0.018105,13.93145,,
4/2/2025 3:30,4.12E-07,8.60695E-05,0.01846,13.92382,,
4/2/2025 4:00,4.20E-07,8.77247E-05,0.018815,13.92408,,
4/2/2025 4:30,4.28E-07,8.93799E-05,0.01917,13.61435,,
4/2/2025 5:00,4.36E-07,9.10351E-05,0.019525,13.36575,,
4/2/2025 5:30,4.43E-07,9.26903E-05,0.01988,13.37065,,
4/2/2025 6:00,4.51E-07,9.43454E-05,0.020235,13.53193,,
4/2/2025 6:30,4.59E-07,9.60006E-05,0.02059,13.2677,,
4/2/2025 7:00,4.67E-07,9.76558E-05,0.020945,13.17609,,
4/2/2025 7:30,4.75E-07,9.9311E-05,0.0213,13.14558,,
4/2/2025 8:00,4.83E-07,0.000100966,0.021655,13.12291,,
4/2/2025 8:30,4.91E-07,0.000102621,0.02201,13.10998,,
4/2/2025 9:00,4.99E-07,0.000104277,0.022365,13.09578,,
4/2/2025 9:30,5.07E-07,0.000105932,0.02272,13.08298,,
4/2/2025 10:00,5.15E-07,0.000107587,0.023075,13.07431,,
4/2/2025 10:30,5.23E-07,0.000109242,0.02343,13.0614,,
4/2/2025 11:00,5.31E-07,0.000110897,0.023785,13.05001,,
4/2/2025 11:30,5.39E-07,0.000112552,0.02414,13.04012,,
4/2/2025 12:00,5.46E-07,0.000114208,0.024495,13.03471,,
4/2/2025 12:30,5.54E-07,0.000115863,0.02485,13.02414,,
4/2/2025 13:00,5.62E-07,0.000117518,0.025205,13.01521,,
4/2/2025 13:30,5.70E-07,0.000119173,0.02556,13.00213,,
4/2/2025 14:00,5.78E-07,0.000120828,0.025915,12.99553,,
4/2/2025 14:30,5.86E-07,0.000122484,0.02627,12.98885,,
4/2/2025 15:00,5.94E-07,0.000124139,0.026625,12.98337,,
4/2/2025 15:30,6.02E-07,0.000125794,0.02698,12.98122,,
4/2/2025 16:00,6.10E-07,0.000127449,0.027335,12.97733,,
4/2/2025 16:30,6.18E-07,0.000129104,0.02769,12.96918,,
4/2/2025 17:00,6.26E-07,0.000130759,0.028045,12.96111,,
4/2/2025 17:30,6.34E-07,0.000132415,0.0284,12.95712,,
4/2/2025 18:00,6.41E-07,0.00013407,0.028755,12.9493,,
4/2/2025 18:30,6.49E-07,0.000135725,0.02911,12.94467,,
4/2/2025 19:00,6.57E-07,0.00013738,0.029465,12.93599,,
4/2/2025 19:30,6.65E-07,0.000139035,0.02982,12.93725,,
4/2/2025 20:00,6.73E-07,0.000140691,0.030175,12.97489,,
4/2/2025 20:30,6.81E-07,0.000142346,0.03053,13.01242,,
4/2/2025 21:00,6.89E-07,0.000144001,0.030885,13.14699,,
4/2/2025 21:30,6.97E-07,0.000145656,0.03124,13.34958,,
4/2/2025 22:00,7.05E-07,0.000147311,0.031595,13.49432,,
4/2/2025 22:30,7.13E-07,0.000148966,0.03195,13.72102,,
4/2/2025 23:00,7.21E-07,0.000150622,0.032305,13.70481,,
4/2/2025 23:30,7.29E-07,0.000152277,0.03266,14.10582,,
4/3/2025 0:00,7.37E-07,0.000153932,0.033015,13.8362,,
4/3/2025 0:30,7.44E-07,0.000155587,0.03337,13.76643,,
4/3/2025 1:00,7.52E-07,0.000157242,0.033725,14.05297,,
4/3/2025 1:30,7.60E-07,0.000158898,0.03408,14.03878,,
4/3/2025 2:00,7.68E-07,0.000160553,0.034435,14.03505,,
4/3/2025 2:30,7.76E-07,0.000162208,0.03479,14.05764,,
4/3/2025 3:00,7.84E-07,0.000163863,0.035145,14.05362,,
4/3/2025 3:30,7.92E-07,0.000165518,0.0355,14.03115,,
4/3/2025 4:00,8.00E-07,0.000167174,0.035855,14.02238,,
4/3/2025 4:30,8.08E-07,0.000168829,0.03621,13.90558,,
4/3/2025 5:00,8.16E-07,0.000170484,0.036565,13.61818,,
4/3/2025 5:30,8.24E-07,0.000172139,0.03692,14.05906,,
4/3/2025 6:00,8.32E-07,0.000173794,0.037275,13.44002,,
4/3/2025 6:30,8.39E-07,0.000175449,0.03763,13.30925,,
4/3/2025 7:00,8.47E-07,0.000177105,0.037985,13.16897,,
4/3/2025 7:30,8.55E-07,0.00017876,0.03834,13.1306,,
4/3/2025 8:00,8.63E-07,0.000180415,0.038695,13.10696,,
4/3/2025 8:30,8.71E-07,0.00018207,0.03905,13.08953,,
4/3/2025 9:00,8.79E-07,0.000183725,0.039405,13.07807,,
4/3/2025 9:30,8.87E-07,0.000185381,0.03976,13.06188,,
4/3/2025 10:00,8.95E-07,0.000187036,0.040115,13.04761,,
4/3/2025 10:30,9.03E-07,0.000188691,0.04047,13.03127,,
4/3/2025 11:00,9.11E-07,0.000190346,0.040825,13.02197,,
4/3/2025 11:30,9.19E-07,0.000192001,0.04118,13.01255,,
4/3/2025 12:00,9.27E-07,0.000193656,0.041535,13.00484,,
4/3/2025 12:30,9.35E-07,0.000195312,0.04189,12.99827,,
4/3/2025 13:00,9.42E-07,0.000196967,0.042245,12.99069,,
4/3/2025 13:30,9.50E-07,0.000198622,0.0426,12.98419,,
4/3/2025 14:00,9.58E-07,0.000200277,0.042955,12.97188,,
4/3/2025 14:30,9.66E-07,0.000201932,0.04331,12.96573,,
4/3/2025 15:00,9.74E-07,0.000203588,0.043665,12.95735,,
4/3/2025 15:30,9.82E-07,0.000205243,0.04402,12.94911,,
